gene_symbol,Fpgs
mouse_strain,C57BL
analysis_id,2b1b635q70ij1m5
parameter_id,JAXLA_CSD_023_001
mouse_life_stage,Early adult
parameter_name,Vibrissae - presence
pvalue,0.06428969
gene_accession_id,MGI:95576
