analysis_id,252631v6f7pw058
gene_symbol,Hspa5
mouse_life_stage,E12.5
gene_accession_id,MGI:95835
pvalue,0.9635446
parameter_name,Eosinophils
mouse_strain,C57BL
parameter_id,IMPC_IMM_052_001
