parameter_name,Aspartate aminotransferase
mouse_strain,C57BL
analysis_id,rw0t64k4z866413
parameter_id,IMPC_CBC_012_001
gene_accession_id,MGI:95835
gene_symbol,Hspa5
pvalue,0.9954155
mouse_life_stage,E12.5
