parameter_name,Platelet count
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Gpbp1l1
pvalue,0.2867089
analysis_id,4smi4c3ayg6eh2m
gene_accession_id,MGI:1924360
parameter_id,IMPC_HEM_008_001
