analysis_id,73gfy10a8h33175
gene_accession_id,MGI:1916220
mouse_strain,C57BL
pvalue,0.2487188
parameter_id,IMPC_OWT_004_001
mouse_life_stage,Early adult
parameter_name,Right kidney weight
gene_symbol,Dcaf12
