parameter_name,Percentage center time
gene_symbol,Kdm4c
pvalue,0.07366247
analysis_id,oc6b9gwra0i5tit
mouse_strain,C57BL
parameter_id,JAX_OFD_022_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1924054
