parameter_id,HMGULA_DYS_024_001
gene_symbol,Dnajc6
parameter_name,Vibrissae - appearance
pvalue,0.2282428
mouse_strain,C57BL
gene_accession_id,MGI:1919935
analysis_id,l22808q57u448hb
mouse_life_stage,Early adult
