parameter_name,Skull shape
gene_accession_id,MGI:1274787
analysis_id,v1d9k78289e494x
pvalue,0.9895396
gene_symbol,Trdmt1
parameter_id,CCP_XRY_001_001
mouse_strain,C57BL
mouse_life_stage,Early adult
