analysis_id,f29q3qvjcy705gr
parameter_name,Hindlimbs - shape
pvalue,0.2008306
gene_symbol,Secisbp2l
parameter_id,JAXLA_CSD_021_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1917604
mouse_strain,C57BL
