parameter_name,Alanine aminotransferase
parameter_id,IMPC_CBC_013_001
mouse_life_stage,Early adult
gene_symbol,Kifap3
gene_accession_id,MGI:107566
mouse_strain,C57BL
pvalue,0.8677153
analysis_id,52oy99tv6q34873
