analysis_id,79796uc5v4bc767
pvalue,0.4293126
mouse_strain,C54BL
mouse_life_stage,E9.5
parameter_id,JAX_OFD_015_001
parameter_name,Center resting time
gene_accession_id,MGI:97838
gene_symbol,Eprs1
