analysis_id,h93z37ss59w5m6f
parameter_id,IMPC_EYE_024_001
parameter_name,Retinal Blood Vessels
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1914309
pvalue,0.6945128
gene_symbol,Ola1
