parameter_name,Sodium
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_001_001
pvalue,0.4389395
mouse_strain,C57BL
gene_symbol,Opn3
analysis_id,am1hi7t4776p406
gene_accession_id,MGI:1338022
