parameter_name,Clavicle
parameter_id,IMPC_XRY_007_001
gene_symbol,F2
mouse_strain,C57BL
analysis_id,39t11j6s2q8db35
mouse_life_stage,Early adult
pvalue,0.6786642
gene_accession_id,MGI:88380
