parameter_name,Retina (combined)
parameter_id,JAXLA_EYE_092_001
gene_symbol,Cntfr
gene_accession_id,MGI:99605
mouse_strain,C57BL
pvalue,0.8503475
analysis_id,83zplb2rhi1a336
mouse_life_stage,Early adult
