analysis_id,f18q3659a9h8slr
mouse_strain,C57BL
gene_accession_id,MGI:1915678
mouse_life_stage,Early adult
pvalue,0.8415789
gene_symbol,Steap3
parameter_id,IMPC_IMM_004_001
parameter_name,NKT cells (panel A)
