mouse_life_stage,Late adult
gene_symbol,Frmpd1
analysis_id,o51n3hq2ygouxi5
mouse_strain,C57BL
parameter_name,Follicular B cells - % of CD45+
parameter_id,MGP_IMM_112_001
pvalue,0.1098112
gene_accession_id,MGI:2446274
