analysis_id,2vc235zf9ej7471
pvalue,0.4775237
gene_symbol,Clvs1
gene_accession_id,MGI:1921688
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_IMM_073_001
parameter_name,Effector CD4+ T helper cells - % of CD45+
