analysis_id,m1euy5fwt2c914f
parameter_id,IMPC_EYE_001_001
gene_accession_id,MGI:1915524
mouse_life_stage,Early adult
parameter_name,Eye
mouse_strain,C57BL
gene_symbol,Toporsl
pvalue,0.2489849
