analysis_id,v300phs36jjn594
pvalue,0.08854638
gene_accession_id,MGI:1913396
mouse_strain,C57BL
parameter_id,MGP_PBI_032_001
parameter_name,CD4+ KLRG1+ alpha beta T cell number
gene_symbol,Maco1
mouse_life_stage,Early adult
