analysis_id,0v45yptsfdk6476
parameter_id,JAX_LDT_002_001
mouse_strain,C57BL
pvalue,0.3363128
parameter_name,Light side time spent
gene_accession_id,MGI:2444114
mouse_life_stage,Early adult
gene_symbol,Zcchc2
