gene_symbol,Kdm5b
parameter_id,MGP_IMM_036_001
mouse_life_stage,Early adult
parameter_name,KLRG1+ NK cells - % of NK cells
gene_accession_id,MGI:1922855
analysis_id,i605k6m9zh49387
pvalue,0.1773594
mouse_strain,C57BL
