gene_symbol,Tbl1xr1
parameter_id,JAXLA_ECG_002_001
mouse_strain,C57BL
parameter_name,HR
pvalue,0.5159384
analysis_id,345o5iocr9ps92t
mouse_life_stage,Late adult
gene_accession_id,MGI:2441730
