analysis_id,tx2w13djfy4zlr2
pvalue,0.6611166
Gene_symbol,Alkbh3
Parameter_id,IMPC_CSD_029_001
Parameter_name,Activity (body position)
mouse_life_stage,Early adult
Gene_accession_id,MGI:1916363
mouse_strain,C57BL
