parameter_name,White blood cell count
parameter_id,HMGULA_HEM_001_001
analysis_id,9gjfxq4658zf71i
pvalue,0.1460474
mouse_strain,C57BL
gene_accession_id,MGI:1916846
gene_symbol,Ap5s1
mouse_life_stage,Early adult
