gene_symbol,Frmpd1
analysis_id,0p83e528k41v355
pvalue,6.812934e-05
parameter_id,JAXLA_CSD_041_002
mouse_life_stage,Late adult
mouse_strain,C57BL
gene_accession_id,MGI:2446274
parameter_name,Hindpaw - size
