gene_symbol,Atf3
pvalue,0.1032963
analysis_id,159a627fr9cx59o
parameter_id,IMPC_EYE_008_001
mouse_life_stage,Early adult
gene_accession_id,MGI:109384
parameter_name,Corneal opacity
mouse_strain,C57BL
