parameter_name,B Cells
gene_accession_id,MGI:1929242
pvalue,0.4081143
gene_symbol,Ivd
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_063_001
mouse_strain,C57BL
analysis_id,qcs28wu5359g508
