parameter_name,Whole arena resting time
parameter_id,JAXLA_OFD_007_001
pvalue,0.7754262
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,889n7bbs9v8kt75
gene_symbol,Extl1
gene_accession_id,MGI:1888742
