parameter_name,Lower teeth appearance
analysis_id,3w33f5czhl6f5iz
mouse_strain,C57BL
gene_symbol,Snap23
mouse_life_stage,Late adult
parameter_id,IMPC_CSD_070_001
gene_accession_id,MGI:109356
pvalue,0.7720899
