parameter_name,eye size
gene_symbol,Gfi1b
gene_accession_id,MGI:1276578
parameter_id,ESLIM_001_001_117
analysis_id,17h167y9yx2eq63
mouse_strain,C57BL
pvalue,0.6159492
mouse_life_stage,Early adult
