gene_symbol,Steap3
pvalue,0.3269054
gene_accession_id,MGI:1915678
analysis_id,38i7117303a66oi
parameter_name,Bone Mineral Density (excluding skull)
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,M-G-P_005_001_004
