gene_symbol,Lamb3
analysis_id,t41k39y687b8nau
mouse_strain,C57BL
parameter_name,Basophil differential count
pvalue,0.581286
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_038_001
gene_accession_id,MGI:99915
