analysis_id,17pb3z9834s505l
gene_accession_id,MGI:2385884
parameter_name,Resting CD8+ T cells - % of CD8+
parameter_id,MGP_MLN_014_001
gene_symbol,Ddx27
pvalue,0.9450803
mouse_strain,C57BL
mouse_life_stage,Early adult
