gene_symbol,Snrpb2
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.6502536
parameter_name,Thyroxine
parameter_id,IMPC_CBC_053_001
gene_accession_id,MGI:104805
analysis_id,jwtkt3m93m66egw
