analysis_id,nxm0f7x1ob2k525
gene_symbol,Hspa5
gene_accession_id,MGI:95835
parameter_name,Periphery distance travelled
parameter_id,JAX_OFD_010_001
pvalue,0.3207662
mouse_life_stage,E12.5
mouse_strain,C57BL
