mouse_strain,C57BL
gene_accession_id,MGI:1914071
analysis_id,930q78vq3atqdp2
parameter_name,CD4+ CD25+ alpha beta regulatory T cell percentage
gene_symbol,Bcs1l
parameter_id,MGP_PBI_008_001
mouse_life_stage,E9.5
pvalue,0.2165469
