analysis_id,ru5ld3c0o81877b
parameter_name,KLRG1+ NK cells - % of NK cells
gene_accession_id,MGI:2448481
mouse_life_stage,Early adult
pvalue,0.2822893
parameter_id,MGP_IMM_036_001
mouse_strain,C57BL
gene_symbol,Mgst2
