gene_symbol,Rhbg
mouse_strain,C57BL
parameter_id,MGP_IMM_004_001
mouse_life_stage,Early adult
analysis_id,9xejw848zz2lrxg
parameter_name,Total CD4+ T cells - % of ab T cells
pvalue,0.8305281
gene_accession_id,MGI:1927379
