gene_symbol,Gfi1b
parameter_id,IMPC_IMM_005_002
mouse_life_stage,Early adult
parameter_name,NK cells (Panel A) - % of live leukocytes (Panel A)
gene_accession_id,MGI:1276578
pvalue,0.3089035
mouse_strain,C57BL
analysis_id,d4ymqw622869f36
