gene_symbol,Kdm5b
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.8427635
parameter_name,CD11b-low cDC - % of cDC
analysis_id,ia3l4s95268p385
parameter_id,MGP_IMM_067_001
gene_accession_id,MGI:1922855
