parameter_id,HMGULA_HWT_008_001
mouse_life_stage,Early adult
parameter_name,Heart weight
gene_accession_id,MGI:2443129
mouse_strain,C57BL
analysis_id,61398n80s23s70l
pvalue,0.8188931
gene_symbol,Golm2
