parameter_name,Distance travelled - total
mouse_life_stage,Early adult
gene_accession_id,MGI:891989
gene_symbol,Npbwr1
pvalue,0.6075724
mouse_strain,C57BL
analysis_id,8z3216s4ju4bi2f
parameter_id,JAXLA_OFD_020_001
