analysis_id,rs87k136ba94oqd
gene_symbol,Cdin1
parameter_id,IMPC_EYE_001_001
pvalue,0.6438862
mouse_life_stage,Early adult
parameter_name,Eye
mouse_strain,C57BL
gene_accession_id,MGI:3026886
