analysis_id,m993529jxi9p347
mouse_strain,C57BL
parameter_name,Prepulse inhibition - PP3
pvalue,0.1915873
gene_symbol,Ift74
parameter_id,ESLIM_011_001_703
mouse_life_stage,Early adult
gene_accession_id,MGI:1914944
