parameter_name,Total protein
parameter_id,IMPC_CBC_006_001
mouse_strain,C57BL
analysis_id,414qr3qw5rj6o9p
pvalue,0.7372363
gene_accession_id,MGI:1924054
mouse_life_stage,Early adult
gene_symbol,Kdm4c
