analysis_id,bg89b68df4n7341
parameter_name,Effector Treg cells - % of Treg
mouse_life_stage,Late adult
pvalue,0.1076506
gene_symbol,Slc30a4
gene_accession_id,MGI:1345282
mouse_strain,C57BL
parameter_id,MGP_IMM_010_001
