gene_symbol,Tnni1
mouse_strain,C57BL
pvalue,0.5067215
parameter_id,IMPC_IPG_011_001
mouse_life_stage,Early adult
parameter_name,Initial response to glucose challenge
gene_accession_id,MGI:105073
analysis_id,0zt07f6dr4404y7
