parameter_name,Centre distance travelled
gene_symbol,Fgb
pvalue,0.2620165
mouse_strain,C57BL
gene_accession_id,MGI:99501
analysis_id,7p2x24518yz8v06
parameter_id,ESLIM_007_001_010
mouse_life_stage,Early adult
