parameter_name,Ventral coat/hair presence
analysis_id,wcd9c5y1edh4eq5
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_CSD_025_001
pvalue,0.1323503
gene_symbol,Col6a3
gene_accession_id,MGI:88461
