gene_symbol,Rab17
pvalue,0.1049023
parameter_name,Total cholesterol
gene_accession_id,MGI:104640
analysis_id,m2h0pc80odqipkc
mouse_life_stage,Early adult
parameter_id,JAXLA_CBC_015_001
mouse_strain,C57BL
