gene_symbol,Bpifa3
pvalue,0.05475382
mouse_life_stage,Early adult
analysis_id,onqx7q40674voxd
parameter_id,MGP_IMM_130_001
gene_accession_id,MGI:1920638
mouse_strain,129SV
parameter_name,CD11b-low cDC - % of CD45+
