analysis_id,456tjqwwn59pubm
parameter_name,Phosphorus
gene_accession_id,MGI:1921688
mouse_strain,C57BL
pvalue,0.1555086
parameter_id,IMPC_CBC_010_001
gene_symbol,Clvs1
mouse_life_stage,Early adult
