analysis_id,cq1uo82kh7vul3o
gene_accession_id,MGI:1927232
gene_symbol,RAB13
parameter_name,Limb morphology
pvalue,0.6715707
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_GEP_084_001
