analysis_id,a42tnpp819y80b8
gene_accession_id,MGI:1918764
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Sfpq
parameter_name,Percent time in dark
pvalue,0.5377649
parameter_id,JAX_LDT_008_001
