parameter_id,HMGULA_HWT_008_001
analysis_id,5695s897787y3o2
gene_accession_id,MGI:1916043
gene_symbol,Rab3gap2
pvalue,0.1368971
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Heart weight
