Parameter_name,Whole arena resting time
Parameter_id,ESLIM_007_001_003
Gene_accession_id,MGI:1914061
Pvalue,0.8083471
Mouse_strain,C57BL
gene_symbol,Duoxa2
Analysis_id,v1sb046pn0w7j7e
Mouse_life_stage,Early adult
