parameter_name,NKT cells (panel A)
gene_symbol,Ahcy
mouse_strain,C57BL
analysis_id,4hhwm51gf7645j9
mouse_life_stage,E12.5
pvalue,0.3699048
parameter_id,IMPC_IMM_004_001
gene_accession_id,MGI:87968
