parameter_name,Embryo turning
analysis_id,x243x80q6018obo
mouse_strain,C57BL
parameter_id,IMPC_GEL_011_001
pvalue,0.05843296
gene_symbol,Rab17
mouse_life_stage,Early adult
gene_accession_id,MGI:104640
