analysis_id,ghue178671w7qkj
gene_symbol,Cpa3
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_021_001
gene_accession_id,MGI:88479
pvalue,0.4803535
parameter_name,Humerus
mouse_strain,C57BL
