gene_symbol,Sfpq
analysis_id,8x149ep5063xp7g
mouse_life_stage,Early adult
parameter_id,HRWLLA_CSD_008_001
mouse_strain,C57BL
pvalue,0.3073677
gene_accession_id,MGI:1918764
parameter_name,Coat - color pattern - back
