parameter_id,JAXLA_GRS_010_001
analysis_id,z9manh6xw22f1b0
mouse_life_stage,E9.5
gene_symbol,Cdin1
parameter_name,Forelimb grip strength normalised against body weight
gene_accession_id,MGI:3026886
mouse_strain,C57BL
pvalue,0.6668362
