gene_symbol,Psmd14
mouse_life_stage,Early adult
parameter_name,Limb grasping
parameter_id,ESLIM_008_001_017
analysis_id,qld85t7xtro997d
mouse_strain,C57BL
gene_accession_id,MGI:1913284
pvalue,0.402078
