parameter_name,Periphery average speed
analysis_id,2et793n8cj80724
parameter_id,JAX_OFD_013_001
pvalue,0.1041563
gene_accession_id,MGI:2135738
mouse_life_stage,Early adult
gene_symbol,Abo
mouse_strain,C57BL
